"COD_VAR";"LIB_VAR";"COD_MOD";"LIB_MOD"
"GEO";"Géographie";"213";"Montbard"
"GEO";"Géographie";"221";"Dinan"
"GEO";"Géographie";"222";"Guingamp"
"GEO";"Géographie";"223";"Lannion"
"GEO";"Géographie";"224";"Saint-Brieuc"
"GEO";"Géographie";"231";"Aubusson"
"GEO";"Géographie";"232";"Guéret"
"GEO";"Géographie";"241";"Bergerac"
"GEO";"Géographie";"242";"Nontron"
"GEO";"Géographie";"243";"Périgueux"
"GEO";"Géographie";"244";"Sarlat-la-Canéda"
"GEO";"Géographie";"251";"Besançon"
"GEO";"Géographie";"252";"Montbéliard"
"GEO";"Géographie";"253";"Pontarlier"
"GEO";"Géographie";"261";"Die"
"GEO";"Géographie";"262";"Nyons"
"GEO";"Géographie";"263";"Valence"
"GEO";"Géographie";"271";"Les Andelys"
"GEO";"Géographie";"272";"Bernay"
"GEO";"Géographie";"273";"Évreux"
"GEO";"Géographie";"281";"Chartres"
"GEO";"Géographie";"282";"Châteaudun"
"GEO";"Géographie";"283";"Dreux"
"GEO";"Géographie";"284";"Nogent-le-Rotrou"
"GEO";"Géographie";"291";"Brest"
"GEO";"Géographie";"292";"Châteaulin"
"GEO";"Géographie";"293";"Morlaix"
"GEO";"Géographie";"294";"Quimper"
"GEO";"Géographie";"2A1";"Ajaccio"
"GEO";"Géographie";"2A4";"Sartène"
"GEO";"Géographie";"2B2";"Bastia"
"GEO";"Géographie";"2B3";"Corte"
"GEO";"Géographie";"2B5";"Calvi"
"GEO";"Géographie";"301";"Alès"
"GEO";"Géographie";"302";"Nîmes"
"GEO";"Géographie";"303";"Le Vigan"
"GEO";"Géographie";"311";"Muret"
"GEO";"Géographie";"312";"Saint-Gaudens"
"GEO";"Géographie";"313";"Toulouse"
"GEO";"Géographie";"321";"Auch"
"GEO";"Géographie";"322";"Condom"
"GEO";"Géographie";"323";"Mirande"
"GEO";"Géographie";"331";"Blaye"
"GEO";"Géographie";"332";"Bordeaux"
"GEO";"Géographie";"333";"Langon"
"GEO";"Géographie";"334";"Lesparre-Médoc"
"GEO";"Géographie";"335";"Libourne"
"GEO";"Géographie";"336";"Arcachon"
"GEO";"Géographie";"341";"Béziers"
"GEO";"Géographie";"342";"Lodève"
"GEO";"Géographie";"343";"Montpellier"
"GEO";"Géographie";"351";"Fougères-Vitré"
"GEO";"Géographie";"352";"Redon"
"GEO";"Géographie";"353";"Rennes"
"GEO";"Géographie";"354";"Saint-Malo"
"GEO";"Géographie";"361";"Le Blanc"
"GEO";"Géographie";"362";"Châteauroux"
"GEO";"Géographie";"363";"La Châtre"
"GEO";"Géographie";"364";"Issoudun"
"GEO";"Géographie";"371";"Chinon"
"GEO";"Géographie";"372";"Tours"
"GEO";"Géographie";"373";"Loches"
"GEO";"Géographie";"381";"Grenoble"
"GEO";"Géographie";"382";"La Tour-du-Pin"
"GEO";"Géographie";"383";"Vienne"
"GEO";"Géographie";"391";"Dole"
"GEO";"Géographie";"392";"Lons-le-Saunier"
"GEO";"Géographie";"393";"Saint-Claude"
"GEO";"Géographie";"401";"Dax"
"GEO";"Géographie";"402";"Mont-de-Marsan"
"GEO";"Géographie";"411";"Blois"
"GEO";"Géographie";"412";"Vendôme"
"GEO";"Géographie";"413";"Romorantin-Lanthenay"
"GEO";"Géographie";"421";"Montbrison"
"GEO";"Géographie";"422";"Roanne"
"GEO";"Géographie";"423";"Saint-Étienne"
"GEO";"Géographie";"431";"Brioude"
"GEO";"Géographie";"432";"Le Puy-en-Velay"
"GEO";"Géographie";"433";"Yssingeaux"
"GEO";"Géographie";"442";"Nantes"
"GEO";"Géographie";"443";"Saint-Nazaire"
"GEO";"Géographie";"445";"Châteaubriant-Ancenis"
"GEO";"Géographie";"451";"Montargis"
"GEO";"Géographie";"452";"Orléans"
"GEO";"Géographie";"453";"Pithiviers"
"GEO";"Géographie";"461";"Cahors"
"GEO";"Géographie";"462";"Figeac"
"GEO";"Géographie";"463";"Gourdon"
"GEO";"Géographie";"471";"Agen"
"GEO";"Géographie";"472";"Marmande"
"GEO";"Géographie";"473";"Villeneuve-sur-Lot"
"GEO";"Géographie";"474";"Nérac"
"GEO";"Géographie";"481";"Florac"
"GEO";"Géographie";"482";"Mende"
"GEO";"Géographie";"491";"Angers"
"GEO";"Géographie";"492";"Cholet"
"GEO";"Géographie";"493";"Saumur"
"GEO";"Géographie";"494";"Segré"
"GEO";"Géographie";"501";"Avranches"
"GEO";"Géographie";"502";"Cherbourg"
"GEO";"Géographie";"503";"Coutances"
"GEO";"Géographie";"504";"Saint-Lô"
"GEO";"Géographie";"511";"Châlons-en-Champagne"
"GEO";"Géographie";"512";"Épernay"
"GEO";"Géographie";"513";"Reims"
"GEO";"Géographie";"514";"Vitry-le-François"
"GEO";"Géographie";"521";"Chaumont"
"GEO";"Géographie";"522";"Langres"
"GEO";"Géographie";"523";"Saint-Dizier"
"GEO";"Géographie";"531";"Château-Gontier"
"GEO";"Géographie";"532";"Laval"
"GEO";"Géographie";"533";"Mayenne"
"GEO";"Géographie";"541";"Val-de-Briey"
"GEO";"Géographie";"542";"Lunéville"
"GEO";"Géographie";"543";"Nancy"
"GEO";"Géographie";"544";"Toul"
"GEO";"Géographie";"551";"Bar-le-Duc"
"GEO";"Géographie";"552";"Commercy"
"GEO";"Géographie";"553";"Verdun"
"GEO";"Géographie";"561";"Lorient"
"GEO";"Géographie";"562";"Pontivy"
"GEO";"Géographie";"563";"Vannes"
"GEO";"Géographie";"573";"Forbach-Boulay-Moselle"
"GEO";"Géographie";"575";"Sarrebourg-Château-Salins"
"GEO";"Géographie";"576";"Sarreguemines"
"GEO";"Géographie";"577";"Thionville"
"GEO";"Géographie";"579";"Metz"
"GEO";"Géographie";"581";"Château-Chinon (Ville)"
"GEO";"Géographie";"582";"Clamecy"
"GEO";"Géographie";"583";"Nevers"
"GEO";"Géographie";"584";"Cosne-Cours-sur-Loire"
"GEO";"Géographie";"01259";"Montcet"
"GEO";"Géographie";"591";"Avesnes-sur-Helpe"
"GEO";"Géographie";"592";"Cambrai"
"GEO";"Géographie";"01260";"Le Montellier"
"GEO";"Géographie";"593";"Douai"
"GEO";"Géographie";"594";"Dunkerque"
"GEO";"Géographie";"595";"Lille"
"GEO";"Géographie";"596";"Valenciennes"
"GEO";"Géographie";"601";"Beauvais"
"GEO";"Géographie";"01261";"Monthieux"
"GEO";"Géographie";"602";"Clermont"
"GEO";"Géographie";"603";"Compiègne"
"GEO";"Géographie";"604";"Senlis"
"GEO";"Géographie";"611";"Alençon"
"GEO";"Géographie";"01262";"Montluel"
"GEO";"Géographie";"612";"Argentan"
"GEO";"Géographie";"613";"Mortagne-au-Perche"
"GEO";"Géographie";"621";"Arras"
"GEO";"Géographie";"622";"Béthune"
"GEO";"Géographie";"01263";"Montmerle-sur-Saône"
"GEO";"Géographie";"623";"Boulogne-sur-Mer"
"GEO";"Géographie";"624";"Montreuil"
"GEO";"Géographie";"625";"Saint-Omer"
"GEO";"Géographie";"01264";"Montracol"
"GEO";"Géographie";"626";"Calais"
"GEO";"Géographie";"627";"Lens"
"GEO";"Géographie";"631";"Ambert"
"GEO";"Géographie";"01265";"Montréal-la-Cluse"
"GEO";"Géographie";"632";"Clermont-Ferrand"
"GEO";"Géographie";"633";"Issoire"
"GEO";"Géographie";"634";"Riom"
"GEO";"Géographie";"01266";"Montrevel-en-Bresse"
"GEO";"Géographie";"635";"Thiers"
"GEO";"Géographie";"641";"Bayonne"
"GEO";"Géographie";"642";"Oloron-Sainte-Marie"
"GEO";"Géographie";"01268";"Murs-et-Gélignieux"
"GEO";"Géographie";"643";"Pau"
"GEO";"Géographie";"651";"Argelès-Gazost"
"GEO";"Géographie";"652";"Bagnères-de-Bigorre"
"GEO";"Géographie";"01269";"Nantua"
"GEO";"Géographie";"653";"Tarbes"
"GEO";"Géographie";"661";"Céret"
"GEO";"Géographie";"662";"Perpignan"
"GEO";"Géographie";"01272";"Neuville-les-Dames"
"GEO";"Géographie";"663";"Prades"
"GEO";"Géographie";"672";"Haguenau-Wissembourg"
"GEO";"Géographie";"673";"Molsheim"
"GEO";"Géographie";"674";"Saverne"
"GEO";"Géographie";"01273";"Neuville-sur-Ain"
"GEO";"Géographie";"675";"Sélestat-Erstein"
"GEO";"Géographie";"678";"Strasbourg"
"GEO";"Géographie";"681";"Altkirch"
"GEO";"Géographie";"01274";"Les Neyrolles"
"GEO";"Géographie";"682";"Colmar-Ribeauvillé"
"GEO";"Géographie";"684";"Mulhouse"
"GEO";"Géographie";"686";"Thann-Guebwiller"
"GEO";"Géographie";"01275";"Neyron"
"GEO";"Géographie";"691";"Lyon"
"GEO";"Géographie";"692";"Villefranche-sur-Saône"
"GEO";"Géographie";"701";"Lure"
"GEO";"Géographie";"702";"Vesoul"
"GEO";"Géographie";"01276";"Niévroz"
"GEO";"Géographie";"711";"Autun"
"GEO";"Géographie";"712";"Chalon-sur-Saône"
"GEO";"Géographie";"713";"Charolles"
"GEO";"Géographie";"714";"Louhans"
"GEO";"Géographie";"01095";"Nivigne et Suran"
"GEO";"Géographie";"715";"Mâcon"
"GEO";"Géographie";"721";"La Flèche"
"GEO";"Géographie";"722";"Mamers"
"GEO";"Géographie";"01277";"Nivollet-Montgriffon"
"GEO";"Géographie";"723";"Le Mans"
"GEO";"Géographie";"731";"Albertville"
"GEO";"Géographie";"732";"Chambéry"
"GEO";"Géographie";"733";"Saint-Jean-de-Maurienne"
"GEO";"Géographie";"01267";"Nurieux-Volognat"
"GEO";"Géographie";"741";"Annecy"
"GEO";"Géographie";"742";"Bonneville"
"GEO";"Géographie";"01279";"Oncieu"
"GEO";"Géographie";"743";"Saint-Julien-en-Genevois"
"GEO";"Géographie";"744";"Thonon-les-Bains"
"GEO";"Géographie";"751";"Paris"
"GEO";"Géographie";"761";"Dieppe"
"GEO";"Géographie";"01280";"Ordonnaz"
"GEO";"Géographie";"762";"Le Havre"
"GEO";"Géographie";"763";"Rouen"
"GEO";"Géographie";"771";"Meaux"
"GEO";"Géographie";"01281";"Ornex"
"GEO";"Géographie";"772";"Melun"
"GEO";"Géographie";"773";"Provins"
"GEO";"Géographie";"774";"Fontainebleau"
"GEO";"Géographie";"01282";"Outriaz"
"GEO";"Géographie";"775";"Torcy"
"GEO";"Géographie";"781";"Mantes-la-Jolie"
"GEO";"Géographie";"782";"Rambouillet"
"GEO";"Géographie";"01283";"Oyonnax"
"GEO";"Géographie";"783";"Saint-Germain-en-Laye"
"GEO";"Géographie";"784";"Versailles"
"GEO";"Géographie";"791";"Bressuire"
"GEO";"Géographie";"792";"Niort"
"GEO";"Géographie";"01284";"Ozan"
"GEO";"Géographie";"793";"Parthenay"
"GEO";"Géographie";"801";"Abbeville"
"GEO";"Géographie";"802";"Amiens"
"GEO";"Géographie";"803";"Montdidier"
"GEO";"Géographie";"01285";"Parcieux"
"GEO";"Géographie";"804";"Péronne"
"GEO";"Géographie";"811";"Albi"
"GEO";"Géographie";"812";"Castres"
"GEO";"Géographie";"01286";"Parves et Nattages"
"GEO";"Géographie";"821";"Castelsarrasin"
"GEO";"Géographie";"822";"Montauban"
"GEO";"Géographie";"831";"Draguignan"
"GEO";"Géographie";"01288";"Péron"
"GEO";"Géographie";"832";"Toulon"
"GEO";"Géographie";"833";"Brignoles"
"GEO";"Géographie";"01289";"Péronnas"
"GEO";"Géographie";"841";"Apt"
"GEO";"Géographie";"842";"Avignon"
"GEO";"Géographie";"843";"Carpentras"
"GEO";"Géographie";"01290";"Pérouges"
"GEO";"Géographie";"851";"Fontenay-le-Comte"
"GEO";"Géographie";"852";"La Roche-sur-Yon"
"GEO";"Géographie";"853";"Les Sables-d'Olonne"
"GEO";"Géographie";"01291";"Perrex"
"GEO";"Géographie";"861";"Châtellerault"
"GEO";"Géographie";"862";"Montmorillon"
"GEO";"Géographie";"863";"Poitiers"
"GEO";"Géographie";"01293";"Peyriat"
"GEO";"Géographie";"871";"Bellac"
"GEO";"Géographie";"872";"Limoges"
"GEO";"Géographie";"873";"Rochechouart"
"GEO";"Géographie";"881";"Épinal"
"GEO";"Géographie";"01294";"Peyrieu"
"GEO";"Géographie";"882";"Neufchâteau"
"GEO";"Géographie";"883";"Saint-Dié-des-Vosges"
"GEO";"Géographie";"891";"Auxerre"
"GEO";"Géographie";"01295";"Peyzieux-sur-Saône"
"GEO";"Géographie";"892";"Avallon"
"GEO";"Géographie";"893";"Sens"
"GEO";"Géographie";"901";"Belfort"
"GEO";"Géographie";"911";"Étampes"
"GEO";"Géographie";"01296";"Pirajoux"
"GEO";"Géographie";"912";"Évry"
"GEO";"Géographie";"913";"Palaiseau"
"GEO";"Géographie";"921";"Antony"
"GEO";"Géographie";"01297";"Pizay"
"GEO";"Géographie";"922";"Nanterre"
"GEO";"Géographie";"923";"Boulogne-Billancourt"
"GEO";"Géographie";"931";"Bobigny"
"GEO";"Géographie";"01298";"Plagne"
"GEO";"Géographie";"932";"Le Raincy"
"GEO";"Géographie";"933";"Saint-Denis"
"GEO";"Géographie";"941";"Créteil"
"GEO";"Géographie";"01299";"Le Plantay"
"GEO";"Géographie";"942";"Nogent-sur-Marne"
"GEO";"Géographie";"943";"L'Haÿ-les-Roses"
"GEO";"Géographie";"951";"Argenteuil"
"GEO";"Géographie";"01185";"Plateau d'Hauteville"
"GEO";"Géographie";"952";"Sarcelles"
"GEO";"Géographie";"953";"Pontoise"
"GEO";"Géographie";"9711";"Basse-Terre"
"GEO";"Géographie";"01204";"Le Poizat-Lalleyriat"
"GEO";"Géographie";"9712";"Pointe-à-Pitre"
"GEO";"Géographie";"9721";"Fort-de-France"
"GEO";"Géographie";"9722";"La Trinité"
"GEO";"Géographie";"9723";"Le Marin"
"GEO";"Géographie";"01301";"Polliat"
"GEO";"Géographie";"9724";"Saint-Pierre"
"GEO";"Géographie";"9731";"Cayenne"
"GEO";"Géographie";"9732";"Saint-Laurent-du-Maroni"
"GEO";"Géographie";"9733";"Saint-Georges"
"GEO";"Géographie";"01302";"Pollieu"
"GEO";"Géographie";"9741";"Saint-Denis"
"GEO";"Géographie";"9742";"Saint-Pierre"
"GEO";"Géographie";"9743";"Saint-Benoît"
"GEO";"Géographie";"01303";"Poncin"
"GEO";"Géographie";"9744";"Saint-Paul"
"GEO";"Géographie";"01304";"Pont-d'Ain"
"GEO";"Géographie";"01305";"Pont-de-Vaux"
"GEO";"Géographie";"01306";"Pont-de-Veyle"
"GEO";"Géographie";"01307";"Port"
"GEO";"Géographie";"01308";"Pougny"
"GEO";"Géographie";"01309";"Pouillat"
"GEO";"Géographie";"01310";"Prémeyzel"
"GEO";"Géographie";"01311";"Prémillieu"
"GEO";"Géographie";"01313";"Prévessin-Moëns"
"GEO";"Géographie";"01314";"Priay"
"GEO";"Géographie";"01317";"Ramasse"
"GEO";"Géographie";"01318";"Rancé"
"GEO";"Géographie";"01319";"Relevant"
"GEO";"Géographie";"01320";"Replonges"
"GEO";"Géographie";"01321";"Revonnas"
"GEO";"Géographie";"01322";"Reyrieux"
"GEO";"Géographie";"01323";"Reyssouze"
"GEO";"Géographie";"01325";"Rignieux-le-Franc"
"GEO";"Géographie";"01328";"Romans"
"GEO";"Géographie";"02509";"Monthiers"
"GEO";"Géographie";"01329";"Rossillon"
"GEO";"Géographie";"02510";"Monthurel"
"GEO";"Géographie";"01330";"Ruffieu"
"GEO";"Géographie";"02511";"Montigny-en-Arrouaise"
"GEO";"Géographie";"01331";"Saint-Alban"
"GEO";"Géographie";"02512";"Montigny-l'Allier"
"GEO";"Géographie";"01334";"Saint-André-d'Huiriat"
"GEO";"Géographie";"02513";"Montigny-le-Franc"
"GEO";"Géographie";"01332";"Saint-André-de-Bâgé"
"GEO";"Géographie";"02514";"Montigny-Lengrain"
"GEO";"Géographie";"01333";"Saint-André-de-Corcy"
"GEO";"Géographie";"02515";"Montigny-lès-Condé"
"GEO";"Géographie";"02516";"Montigny-sous-Marle"
"GEO";"Géographie";"01335";"Saint-André-le-Bouchoux"
"GEO";"Géographie";"02517";"Montigny-sur-Crécy"
"GEO";"Géographie";"01336";"Saint-André-sur-Vieux-Jonc"
"GEO";"Géographie";"02518";"Montlevon"
"GEO";"Géographie";"01337";"Saint-Bénigne"
"GEO";"Géographie";"02519";"Montloué"
"GEO";"Géographie";"01339";"Saint-Bernard"
"GEO";"Géographie";"02521";"Montreuil-aux-Lions"
"GEO";"Géographie";"01343";"Saint-Cyr-sur-Menthon"
"GEO";"Géographie";"02525";"Morcourt"
"GEO";"Géographie";"01345";"Saint-Denis-en-Bugey"
"GEO";"Géographie";"02526";"Morgny-en-Thiérache"
"GEO";"Géographie";"01344";"Saint-Denis-lès-Bourg"
"GEO";"Géographie";"02527";"Morsain"
"GEO";"Géographie";"02528";"Mortefontaine"
"GEO";"Géographie";"01346";"Saint-Didier-d'Aussiat"
"GEO";"Géographie";"01347";"Saint-Didier-de-Formans"
"GEO";"Géographie";"02529";"Mortiers"
"GEO";"Géographie";"01348";"Saint-Didier-sur-Chalaronne"
"GEO";"Géographie";"02530";"Moulins"
"GEO";"Géographie";"01349";"Saint-Éloi"
"GEO";"Géographie";"02531";"Moussy-Verneuil"
"GEO";"Géographie";"02532";"Moÿ-de-l'Aisne"
"GEO";"Géographie";"01350";"Saint-Étienne-du-Bois"
"GEO";"Géographie";"02533";"Muret-et-Crouttes"
"GEO";"Géographie";"01351";"Saint-Étienne-sur-Chalaronne"
"GEO";"Géographie";"02534";"Muscourt"
"GEO";"Géographie";"01352";"Saint-Étienne-sur-Reyssouze"
"GEO";"Géographie";"02535";"Nampcelles-la-Cour"
"GEO";"Géographie";"01354";"Saint-Genis-Pouilly"
"GEO";"Géographie";"02536";"Nampteuil-sous-Muret"
"GEO";"Géographie";"01355";"Saint-Genis-sur-Menthon"
"GEO";"Géographie";"02537";"Nanteuil-la-Fosse"
"GEO";"Géographie";"01356";"Saint-Georges-sur-Renon"
"GEO";"Géographie";"02538";"Nanteuil-Notre-Dame"
"GEO";"Géographie";"01357";"Saint-Germain-de-Joux"
"GEO";"Géographie";"02539";"Nauroy"
"GEO";"Géographie";"01358";"Saint-Germain-les-Paroisses"
"GEO";"Géographie";"02540";"Nesles-la-Montagne"
"GEO";"Géographie";"01359";"Saint-Germain-sur-Renon"
"GEO";"Géographie";"02541";"Neufchâtel-sur-Aisne"
"GEO";"Géographie";"01360";"Saint-Jean-de-Gonville"
"GEO";"Géographie";"02542";"Neuflieux"
"GEO";"Géographie";"01361";"Saint-Jean-de-Niost"
"GEO";"Géographie";"02543";"Neuilly-Saint-Front"
"GEO";"Géographie";"01362";"Saint-Jean-de-Thurigneux"
"GEO";"Géographie";"02544";"Neuve-Maison"
"GEO";"Géographie";"01363";"Saint-Jean-le-Vieux"
"GEO";"Géographie";"02545";"La Neuville-Bosmont"
"GEO";"Géographie";"01364";"Saint-Jean-sur-Reyssouze"
"GEO";"Géographie";"02546";"La Neuville-en-Beine"
"GEO";"Géographie";"01365";"Saint-Jean-sur-Veyle"
"GEO";"Géographie";"02547";"La Neuville-Housset"
"GEO";"Géographie";"01367";"Saint-Julien-sur-Reyssouze"
"GEO";"Géographie";"02548";"La Neuville-lès-Dorengt"
"GEO";"Géographie";"01368";"Saint-Julien-sur-Veyle"
"GEO";"Géographie";"02549";"Neuville-Saint-Amand"
"GEO";"Géographie";"02550";"Neuville-sur-Ailette"
"GEO";"Géographie";"01369";"Saint-Just"
"GEO";"Géographie";"02551";"Neuville-sur-Margival"
"GEO";"Géographie";"01370";"Saint-Laurent-sur-Saône"
"GEO";"Géographie";"02552";"Neuvillette"
"GEO";"Géographie";"01371";"Saint-Marcel"
"GEO";"Géographie";"02553";"Nizy-le-Comte"
"GEO";"Géographie";"01372";"Saint-Martin-de-Bavel"
"GEO";"Géographie";"02555";"Nogent-l'Artaud"
"GEO";"Géographie";"01373";"Saint-Martin-du-Frêne"
"GEO";"Géographie";"02554";"Nogentel"
"GEO";"Géographie";"01374";"Saint-Martin-du-Mont"
"GEO";"Géographie";"02556";"Noircourt"
"GEO";"Géographie";"01375";"Saint-Martin-le-Châtel"
"GEO";"Géographie";"02557";"Noroy-sur-Ourcq"
"GEO";"Géographie";"01376";"Saint-Maurice-de-Beynost"
"GEO";"Géographie";"02558";"Le Nouvion-en-Thiérache"
"GEO";"Géographie";"01378";"Saint-Maurice-de-Gourdans"
"GEO";"Géographie";"02559";"Nouvion-et-Catillon"
"GEO";"Géographie";"01379";"Saint-Maurice-de-Rémens"
"GEO";"Géographie";"02560";"Nouvion-le-Comte"
"GEO";"Géographie";"01380";"Saint-Nizier-le-Bouchoux"
"GEO";"Géographie";"02561";"Nouvion-le-Vineux"
"GEO";"Géographie";"01381";"Saint-Nizier-le-Désert"
"GEO";"Géographie";"02562";"Nouvron-Vingré"
"GEO";"Géographie";"01383";"Saint-Paul-de-Varax"
"GEO";"Géographie";"02563";"Noyales"
"GEO";"Géographie";"01384";"Saint-Rambert-en-Bugey"
"GEO";"Géographie";"02566";"Ognes"
"GEO";"Géographie";"01385";"Saint-Rémy"
"GEO";"Géographie";"02567";"Ohis"
"GEO";"Géographie";"01386";"Saint-Sorlin-en-Bugey"
"GEO";"Géographie";"02568";"Oigny-en-Valois"
"GEO";"Géographie";"01387";"Saint-Sulpice"
"GEO";"Géographie";"02569";"Oisy"
"GEO";"Géographie";"01388";"Saint-Trivier-de-Courtes"
"GEO";"Géographie";"02570";"Ollezy"
"GEO";"Géographie";"01389";"Saint-Trivier-sur-Moignans"
"GEO";"Géographie";"02571";"Omissy"
"GEO";"Géographie";"01390";"Saint-Vulbas"
"GEO";"Géographie";"02572";"Orainville"
"GEO";"Géographie";"01342";"Sainte-Croix"
"GEO";"Géographie";"02573";"Orgeval"
"GEO";"Géographie";"01353";"Sainte-Euphémie"
"GEO";"Géographie";"02574";"Origny-en-Thiérache"
"GEO";"Géographie";"02575";"Origny-Sainte-Benoite"
"GEO";"Géographie";"01366";"Sainte-Julie"
"GEO";"Géographie";"02576";"Osly-Courtil"
"GEO";"Géographie";"01382";"Sainte-Olive"
"GEO";"Géographie";"02577";"Ostel"
"GEO";"Géographie";"01391";"Salavre"
"GEO";"Géographie";"02578";"Oulches-la-Vallée-Foulon"
"GEO";"Géographie";"01392";"Samognat"
"GEO";"Géographie";"02579";"Oulchy-la-Ville"
"GEO";"Géographie";"01393";"Sandrans"
"GEO";"Géographie";"02580";"Oulchy-le-Château"
"GEO";"Géographie";"01396";"Sault-Brénaz"
"GEO";"Géographie";"02581";"Paars"
"GEO";"Géographie";"01397";"Sauverny"
"GEO";"Géographie";"02582";"Paissy"
"GEO";"Géographie";"01398";"Savigneux"
"GEO";"Géographie";"02583";"Pancy-Courtecon"
"GEO";"Géographie";"01399";"Ségny"
"GEO";"Géographie";"02584";"Papleux"
"GEO";"Géographie";"04055";"Chaudon-Norante"
"GEO";"Géographie";"01400";"Seillonnaz"
"GEO";"Géographie";"02585";"Parcy-et-Tigny"
"GEO";"Géographie";"01401";"Sergy"
"GEO";"Géographie";"04057";"Clamensane"
"GEO";"Géographie";"02586";"Parfondeval"
"GEO";"Géographie";"01402";"Sermoyer"
"GEO";"Géographie";"04058";"Claret"
"GEO";"Géographie";"02587";"Parfondru"
"GEO";"Géographie";"01403";"Serrières-de-Briord"
"GEO";"Géographie";"04059";"Clumanc"
"GEO";"Géographie";"02588";"Pargnan"
"GEO";"Géographie";"01404";"Serrières-sur-Ain"
"GEO";"Géographie";"04061";"Colmars"
"GEO";"Géographie";"02589";"Pargny-Filain"
"GEO";"Géographie";"01405";"Servas"
"GEO";"Géographie";"04062";"La Condamine-Châtelard"
"GEO";"Géographie";"02590";"Pargny-la-Dhuys"
"GEO";"Géographie";"01406";"Servignat"
"GEO";"Géographie";"02591";"Pargny-les-Bois"
"GEO";"Géographie";"04063";"Corbières-en-Provence"
"GEO";"Géographie";"01407";"Seyssel"
"GEO";"Géographie";"02592";"Parpeville"
"GEO";"Géographie";"04065";"Cruis"
"GEO";"Géographie";"02593";"Pasly"
"GEO";"Géographie";"01408";"Simandre-sur-Suran"
"GEO";"Géographie";"04066";"Curbans"
"GEO";"Géographie";"02594";"Passy-en-Valois"
"GEO";"Géographie";"01410";"Sonthonnax-la-Montagne"
"GEO";"Géographie";"04067";"Curel"
"GEO";"Géographie";"02595";"Passy-sur-Marne"
